Recency,Frequency,Monetary,R,F,M
14,3,8230,4,2,3
12,6,22746,5,4,5
15,9,13676,4,5,4
13,3,3751,4,2,1
21,3,3565,2,2,1
11,6,14919,5,4,5
20,6,15697,2,4,5
18,2,5190,3,1,2
23,2,3160,2,1,1
11,3,6484,5,2,2
16,1,861,3,1,1
37,6,9880,1,4,4
44,2,3888,1,1,2
13,3,2654,4,2,1
12,6,15972,5,4,5
41,3,8209,1,2,3
28,3,10273,1,2,4
15,4,15453,4,3,5
12,8,20564,5,5,5
29,3,9935,1,2,4
16,3,5863,3,2,2
25,6,15278,2,4,5
13,6,5226,4,4,2
14,3,1120,4,2,1
26,2,8094,1,1,3
0,8,22569,5,5,5
31,1,744,1,1,1
13,4,15755,4,3,5
12,9,13219,5,5,4
22,4,6599,2,3,2
11,5,15328,5,4,5
12,3,7770,5,2,3
17,4,12667,3,3,4
17,5,6549,3,4,2
23,4,5615,2,3,2
23,2,1630,2,1,1
18,2,12621,3,1,4
27,5,12518,1,4,4
13,5,12859,4,4,4
2,5,15815,5,4,5
11,6,13204,5,4,4
19,4,4159,2,3,2
21,5,13681,2,4,4
11,3,6191,5,2,2
22,1,4959,2,1,2
10,2,3933,5,1,2
11,4,10284,5,3,4
11,4,12654,5,3,4
17,3,8606,3,2,3
9,3,6731,5,2,3
17,5,8473,3,4,3
16,4,6354,3,3,2
14,4,5186,4,3,2
14,4,1661,4,3,1
14,2,6687,4,1,3
28,1,1597,1,1,1
20,2,3854,2,1,2
17,6,17333,3,4,5
16,5,9973,3,4,4
24,4,11135,2,3,4
12,3,7956,5,2,3
26,3,5982,1,2,2
10,9,26251,5,5,5
17,5,11887,3,4,4
13,8,9561,4,5,3
36,3,3947,1,2,2
13,5,4037,4,4,2
13,7,9662,4,5,4
21,4,11058,2,3,4
47,1,3858,1,1,2
17,5,8940,3,4,3
13,4,3406,4,3,1
20,5,1539,2,4,1
3,6,9298,5,4,3
12,5,9148,5,4,3
22,7,17740,2,5,5
12,2,3474,5,1,1
4,7,19314,5,5,5
2,5,12105,5,4,4
11,2,7326,5,1,3
0,6,10177,5,4,4
2,2,7021,5,1,3
12,2,3226,5,1,1
12,4,4863,5,3,2
13,6,16576,4,4,5
